,GDPpc,Region,IncomeGroup,Population,location,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
0,29007.6930034887,Latin America & Caribbean,High,106314.0,Aruba,ABW,127256.0,67827.0,59429.0,869.0,343.0,119.19,63.53,55.66,3213.0
1,507.103431871987,South Asia,Low,38041754.0,Afghanistan,AFG,886854.0,699200.0,187654.0,4015.0,15286.0,2.28,1.8,0.48,393.0
2,2790.72661520665,Sub-Saharan Africa,Lower middle,31825295.0,Angola,AGO,1488292.0,943301.0,544991.0,1973.0,13570.0,4.53,2.87,1.66,413.0
3,5353.2448564014,Europe & Central Asia,Upper middle,2854191.0,Albania,ALB,968034.0,564530.0,403504.0,12536.0,7880.0,33.64,19.62,14.02,2738.0
4,40886.3911648431,Europe & Central Asia,High,77142.0,Andorra,AND,68329.0,41716.0,26613.0,1973.0,723.0,88.43,53.99,34.44,9357.0
5,43103.3230583165,Middle East & North Africa,High,9770529.0,United Arab Emirates,ARE,15362342.0,5081853.0,3836521.0,163681.0,89525.0,155.33,51.38,38.79,9052.0
6,9912.28180859803,Latin America & Caribbean,Upper middle,44938712.0,Argentina,ARG,20543325.0,16504606.0,4038719.0,321628.0,270934.0,45.45,36.52,8.94,5995.0
7,4622.733493286711,Europe & Central Asia,Upper middle,2957731.0,Armenia,ARM,64293.0,52509.0,11784.0,321628.0,1410.0,2.17,1.77,0.4,476.0
8,17112.8211347326,Latin America & Caribbean,High,97118.0,Antigua and Barbuda,ATG,63931.0,36187.0,27744.0,1686.0,189.0,65.28,36.95,28.33,1930.0
9,55057.204696066605,East Asia & Pacific,High,25365745.0,Australia,AUS,7645585.0,6144110.0,1501475.0,144885.0,112187.0,29.98,24.09,5.89,4400.0
10,50121.5542131186,Europe & Central Asia,High,8879920.0,Austria,AUT,7747028.0,4758717.0,3098684.0,107759.0,84676.0,86.02,52.84,34.41,9402.0
11,4793.125559087221,Europe & Central Asia,Upper middle,10024283.0,Azerbaijan,AZE,3511219.0,2214990.0,1296229.0,88978.0,61554.0,34.63,21.85,12.78,6071.0
12,46345.40329252231,Europe & Central Asia,High,11502704.0,Belgium,BEL,10905591.0,7148368.0,4016148.0,70565.0,111725.0,94.1,61.68,34.65,9640.0
13,1219.43267185875,Sub-Saharan Africa,Lower middle,11801151.0,Benin,BEN,46108.0,36188.0,9920.0,1952.0,974.0,0.38,0.3,0.08,80.0
14,786.895631290168,Sub-Saharan Africa,Low,20321378.0,Burkina Faso,BFA,25833.0,25833.0,805473.0,13012.0,576.0,0.12,0.12,11.59,28.0
15,1855.7398240804603,South Asia,Lower middle,163046161.0,Bangladesh,BGD,10102139.0,5823245.0,4278894.0,996.0,1672.0,6.13,3.54,2.6,10.0
16,9828.148514781391,Europe & Central Asia,Upper middle,6975761.0,Bulgaria,BGR,1761277.0,955804.0,805473.0,13012.0,9426.0,25.35,13.76,11.59,1357.0
17,23503.977126673,Middle East & North Africa,High,1641172.0,Bahrain,BHR,2122296.0,1057888.0,987140.0,5799.0,20496.0,124.72,62.17,58.01,12045.0
18,6108.51069581338,Europe & Central Asia,Upper middle,3301000.0,Bosnia and Herzegovina,BIH,456521.0,301801.0,154720.0,30364.0,11728.0,13.91,9.2,4.72,3575.0
19,6697.96861498416,Europe & Central Asia,Upper middle,9417849.0,Belarus,BLR,1068413.0,699141.0,369272.0,873.0,20498.0,11.31,7.4,3.91,2169.0
20,4815.1637107951,Latin America & Caribbean,Upper middle,390353.0,Belize,BLZ,106010.0,79993.0,26017.0,1952.0,1508.0,26.66,20.12,6.54,3793.0
21,116889.952676215,North America,High,64027.0,Bermuda,BMU,80722.0,41688.0,39034.0,1952.0,390.0,129.63,66.94,62.68,6263.0
22,3552.0687602631,Latin America & Caribbean,Lower middle,11513100.0,Bolivia,BOL,2549403.0,1857751.0,691652.0,30364.0,36441.0,21.84,15.91,5.93,3122.0
23,8717.18627810819,Latin America & Caribbean,Upper middle,211049527.0,Brazil,BRA,101476804.0,74354809.0,27121995.0,2649319.0,1411834.0,47.74,34.98,12.76,6642.0
24,18148.2449264001,Latin America & Caribbean,High,287025.0,Barbados,BRB,166212.0,95264.0,70948.0,873.0,849.0,57.84,33.15,24.69,2954.0
25,3316.1757135008397,South Asia,Lower middle,763092.0,Bhutan,BTN,485315.0,485315.0,39034.0,43.0,81.0,62.9,62.9,62.68,105.0
26,7961.32518123885,Sub-Saharan Africa,Upper middle,2303697.0,Botswana,BWA,219488.0,153403.0,66085.0,30364.0,6451.0,9.33,6.52,2.81,2743.0
27,467.90744063633497,Sub-Saharan Africa,Low,4745185.0,Central African Republic,CAF,78685.0,78685.0,44793.0,12887.0,78.0,1.63,1.63,68.16,16.0
28,46189.6601146616,North America,High,37593384.0,Canada,CAN,37384820.0,25722762.0,11662058.0,608608.0,542779.0,99.05,68.15,30.9,14381.0
29,81989.4435119161,Europe & Central Asia,High,8575280.0,Switzerland,CHE,7236625.0,4305780.0,2930845.0,25702.0,72491.0,83.62,49.75,33.86,8376.0
30,14896.453866578899,Latin America & Caribbean,High,18952038.0,Chile,CHL,22738493.0,12596361.0,10533144.0,228035.0,140657.0,118.95,65.89,55.1,7358.0
31,10216.6303341031,East Asia & Pacific,Upper middle,1397715000.0,China,CHN,1244675000.0,622000000.0,223299000.0,18941000.0,21253286.0,86.48,43.21,15.51,14766.0
32,2276.33327906444,Sub-Saharan Africa,Lower middle,25716544.0,Cote d'Ivoire,CIV,757113.0,757113.0,811163.0,7745.0,2828.0,2.87,2.87,15.92,107.0
33,1507.45020591288,Sub-Saharan Africa,Lower middle,25876380.0,Cameroon,CMR,110324.0,88333.0,21991.0,400.0,1684.0,0.42,0.33,0.08,63.0
34,6428.676205627679,Latin America & Caribbean,Upper middle,50339443.0,Colombia,COL,18281743.0,11518988.0,6896325.0,339791.0,320418.0,35.93,22.64,13.55,6297.0
35,1370.14820676715,Sub-Saharan Africa,Lower middle,850886.0,Comoros,COM,84360.0,43140.0,41220.0,339791.0,57.0,9.7,4.96,4.74,66.0
36,12243.811426760702,Latin America & Caribbean,Upper middle,5047561.0,Costa Rica,CRI,2440385.0,1629222.0,811163.0,1486.0,18846.0,47.91,31.98,15.92,3700.0
37,8821.81889125004,Latin America & Caribbean,Upper middle,11333483.0,Cuba,CUB,5988743.0,2758893.0,1169638.0,140252.0,124974.0,52.87,24.36,10.33,11034.0
38,19701.270377457,Latin America & Caribbean,High,157441.0,Curacao,CUW,167493.0,88793.0,78700.0,342.0,318.0,102.07,54.11,47.96,1938.0
39,85975.0247395242,Latin America & Caribbean,High,64948.0,Cayman Islands,CYM,93525.0,48418.0,44793.0,525.0,508.0,142.31,73.67,68.16,7730.0
40,27858.3709958327,Europe & Central Asia,High,1198575.0,Cyprus,CYP,809234.0,462527.0,346707.0,9662.0,5852.0,91.13,52.09,39.04,6590.0
41,46467.516202385596,Europe & Central Asia,High,83092962.0,Germany,DEU,74871502.0,45817029.0,30986128.0,976527.0,725921.0,89.36,54.68,36.98,8664.0
